scaling_factor	Tardiness	makespan	# late jobs	# large set-ups	delta makespan
-86.5002	311018	24443	51	157	12374
-86.4002	344531	21411	65	163	6877
-86.3002	268755	20745	57	158	5189
-86.2002	324536	21694	63	163	7383
-86.1002	314628	22598	63	163	8935
-86.0002	302799	20730	65	158	4699
-85.9002	316357	22713	58	162	8149
-85.8002	325193	26286	58	161	17657
-85.7002	329248	20925	65	162	7628
-85.6002	351325	20043	58	158	6350
-85.5002	343743	22621	69	162	8062
-85.4002	318020	28672	54	158	15087
-85.3002	327935	29145	62	162	16285
-85.2002	320991	22270	64	161	8186
-85.1002	320422	21258	64	160	5597
-85.0002	345077	25860	66	162	13518
-84.9002	330447	22851	63	158	10532
-84.8002	327919	24520	65	160	12201
-84.7002	317852	20107	60	158	3620
-84.6002	332652	28387	64	162	18932
-84.5002	313527	18558	66	156	783
-84.4002	323596	21421	60	160	5882
-84.3002	332726	22619	60	159	9775
-84.2002	319106	19387	70	161	1909
-84.1002	337798	20292	60	158	3742
-84.0002	361750	23313	66	156	10819
-83.9002	319904	25636	61	158	12155
-83.8002	304772	21227	57	162	5408
-83.7002	325782	26880	62	156	14801
-83.6003	303003	22899	58	162	10615
-83.5003	324904	24282	56	162	14795
-83.4003	301128	25431	54	161	11620
-83.3003	322013	22991	59	161	7891
-83.2003	319273	21540	60	162	7835
-83.1003	329934	24041	70	161	8451
-83.0003	340835	20424	64	164	7031
-82.9003	350842	22235	58	165	9533
-82.8003	343180	25165	67	158	10940
-82.7003	327501	27731	61	159	13253
-82.6003	311475	19159	63	158	2779
-82.5003	318595	21438	62	159	8247
-82.4003	305995	21935	59	159	5991
-82.3003	318454	23036	55	160	10329
-82.2003	338248	26097	62	160	11181
-82.1003	331880	22154	60	165	7066
-82.0003	320989	19236	61	162	2586
-81.9003	313171	21497	53	163	7270
-81.8003	297510	21961	58	160	7644
-81.7003	346156	23281	63	158	9434
-81.6003	314181	21591	59	162	6424
-81.5003	323213	21506	60	159	6317
-81.4003	312005	22117	61	162	7201
-81.3003	319862	22738	64	158	7843
-81.2003	282994	21711	61	159	6613
-81.1003	310922	20713	59	159	5168
-81.0003	331061	20008	65	162	3899
-80.9003	316600	23751	59	158	8760
-80.8003	308137	20579	56	162	6684
-80.7003	282793	23864	62	162	8325
-80.6003	309955	22683	61	161	8584
-80.5003	345585	22593	61	159	7582
-80.4003	321075	21503	50	162	5314
-80.3003	335162	20269	60	155	5532
-80.2003	333213	27381	66	160	14224
-80.1003	318795	24234	62	158	9212
-80.0003	344559	21814	66	159	5055
-79.9003	334021	26278	62	161	13862
-79.8003	333608	23552	63	158	12113
-79.7003	292441	23660	60	155	7696
-79.6003	298708	21829	59	156	6316
-79.5003	320868	25613	58	163	13328
-79.4003	329539	23737	68	162	9844
-79.3003	309576	21910	61	162	9201
-79.2003	309563	20862	62	153	4953
-79.1003	336077	20090	61	157	3943
-79.0003	254373	21351	58	161	5886
-78.9003	321123	21140	63	159	4985
-78.8003	337203	20559	66	159	6969
-78.7003	307611	20172	58	159	6596
-78.6003	332783	21301	64	158	5610
-78.5003	342425	19877	56	158	3866
-78.4003	325997	20979	61	160	6285
-78.3003	336008	21932	72	158	7866
-78.2003	355764	23484	67	162	8073
-78.1003	269377	19792	60	161	3271
-78.0003	311763	21760	60	157	8574
-77.9003	301019	21301	58	159	5607
-77.8003	323263	19586	58	162	2319
-77.7003	333061	24785	70	161	12214
-77.6003	326713	24214	61	156	9866
-77.5003	334708	23524	60	161	9241
-77.4003	320458	24307	59	151	10800
-77.3003	333579	19219	58	162	2757
-77.2003	315567	21977	57	158	6478
-77.1003	296517	24780	61	159	12153
-77.0004	317944	21908	61	159	7166
-76.9004	317539	20794	67	158	4664
-76.8004	319623	25493	61	157	11137
-76.7004	295211	20817	64	160	6444
-76.6004	312483	20811	62	155	5735
-76.5004	319110	22801	65	157	12221
-76.4004	333274	21102	66	159	6850
-76.3004	317495	21065	58	159	9429
-76.2004	290250	23428	56	159	11041
-76.1004	330640	27172	63	157	15244
-76.0004	324418	21864	71	159	7288
-75.9004	360967	24703	55	162	12021
-75.8004	327450	21507	60	161	10393
-75.7004	327038	21443	64	162	6263
-75.6004	303384	22520	64	162	6022
-75.5004	356126	26531	61	156	13783
-75.4004	348511	28526	56	160	14950
-75.3004	302091	20188	55	164	4703
-75.2004	344686	19965	65	160	5183
-75.1004	306946	22703	55	162	9187
-75.0004	314411	19253	62	160	2711
-74.9004	334409	27934	60	161	14009
-74.8004	325301	20150	60	156	5059
-74.7004	300320	19898	60	161	4407
-74.6004	333318	21660	64	155	6809
-74.5004	330151	25522	63	160	10546
-74.4004	344642	29560	59	161	20094
-74.3004	306084	22829	55	161	7932
-74.2004	309223	21488	62	160	9720
-74.1004	305809	21628	56	157	8042
-74.0004	327548	23531	63	164	10884
-73.9004	343289	22658	64	161	9085
-73.8004	347413	21214	63	160	5818
-73.7004	334546	22010	62	158	6936
-73.6004	325997	23111	61	160	12052
-73.5004	300454	22541	59	163	8453
-73.4004	265281	29408	49	154	21272
-73.3004	339218	21431	60	161	7902
-73.2004	311029	22666	49	156	8989
-73.1004	315341	20319	61	160	4246
-73.0004	289790	22433	51	157	9280
-72.9004	323605	23879	60	162	13632
-72.8004	311247	21457	63	157	7802
-72.7004	339793	22430	61	156	10446
-72.6004	308422	22089	60	162	7367
-72.5004	320866	24781	52	160	11461
-72.4004	294726	21640	58	161	7957
-72.3004	318962	23761	57	161	10287
-72.2004	289218	21165	55	162	8828
-72.1004	329143	20466	68	162	5510
-72.0004	321814	23667	55	161	11405
-71.9004	321213	21815	64	159	6035
-71.8004	330994	22145	63	159	8296
-71.7004	351586	26982	59	158	12721
-71.6004	317586	25290	63	162	11772
-71.5004	304005	20747	59	159	4654
-71.4004	344725	23623	51	158	12473
-71.3004	344746	25499	60	162	12132
-71.2004	342400	21324	67	159	9308
-71.1004	293630	23596	62	164	9747
-71.0004	330386	24398	65	155	10477
-70.9004	330235	25713	66	160	12423
-70.8004	306900	21333	63	163	8050
-70.7004	333307	22485	62	162	7561
-70.6004	333111	20037	62	162	4842
-70.5005	340500	20197	62	156	3906
-70.4005	352368	26561	63	160	14893
-70.3005	332123	23338	68	157	9341
-70.2005	315608	20688	70	160	5483
-70.1005	323452	21024	60	160	6475
-70.0005	326902	24302	63	154	9073
-69.9005	319959	22023	62	162	9230
-69.8005	318955	27303	58	162	15306
-69.7005	299326	23144	49	154	11134
-69.6005	335395	27510	62	158	14896
-69.5005	313817	20201	56	158	6681
-69.4005	336442	24190	58	160	10092
-69.3005	321414	21114	64	159	4812
-69.2005	306702	25241	58	159	13002
-69.1005	316030	23401	52	158	7990
-69.0005	335536	26616	64	152	12774
-68.9005	340101	26272	55	160	13958
-68.8005	299406	21357	58	163	7687
-68.7005	319494	22390	57	158	7212
-68.6005	334167	20796	53	161	5367
-68.5005	324488	25842	69	161	12445
-68.4005	318472	20791	56	161	7233
-68.3005	340069	22478	59	154	10673
-68.2005	313811	20953	57	163	6968
-68.1005	320501	22635	56	157	8493
-68.0005	316245	20886	60	160	4783
-67.9005	329495	22659	59	161	8616
-67.8005	298945	20561	62	159	5183
-67.7005	313742	19965	62	160	3195
-67.6005	327780	22958	60	159	6790
-67.5005	322893	21218	61	159	8316
-67.4005	332047	20659	65	159	3953
-67.3005	308304	20122	58	160	3595
-67.2005	344167	22945	58	160	10593
-67.1005	327612	24826	64	155	11921
-67.0005	301081	24151	62	160	10532
-66.9005	323521	21012	60	158	6173
-66.8005	288876	22009	58	159	10192
-66.7005	338008	19741	54	159	2973
-66.6005	300099	20858	58	163	7498
-66.5005	316638	27230	55	157	15265
-66.4005	327689	20520	59	163	3498
-66.3005	314419	20767	65	159	7569
-66.2005	347821	21067	62	159	5600
-66.1005	314975	21843	61	162	6656
-66.0005	293816	19919	65	157	4257
-65.9005	327373	24445	60	160	10145
-65.8005	329011	23299	58	160	6996
-65.7005	349413	22588	60	158	6868
-65.6005	323167	25761	64	159	13371
-65.5005	342538	26268	67	156	13333
-65.4005	308103	21844	53	159	6252
-65.3005	276833	22407	50	160	8741
-65.2005	312948	23923	59	160	10096
-65.1005	339367	20579	65	159	7026
-65.0005	314854	20404	65	162	3656
-64.9005	322972	22107	54	157	7674
-64.8005	308544	26193	51	160	11825
-64.7005	290717	21642	56	162	6634
-64.6005	314011	20825	64	160	6244
-64.5005	315043	22949	57	161	8915
-64.4005	325450	23146	64	155	12037
-64.3005	322449	22381	64	160	10166
-64.2005	345681	20917	58	161	5949
-64.1005	320414	20582	54	161	4803
-64.0005	320167	23513	52	159	9504
-63.9006	323796	21960	64	158	5142
-63.8006	301870	23621	63	163	10887
-63.7006	328498	22725	70	158	8396
-63.6006	341306	24989	56	159	14067
-63.5006	315004	21266	64	157	8006
-63.4006	339573	22908	61	158	9910
-63.3006	308257	22675	67	161	7820
-63.2006	276298	24453	59	163	11651
-63.1006	363973	22095	63	163	10526
-63.0006	328983	24966	60	159	11139
-62.9006	332629	20913	61	163	6636
-62.8006	318465	25250	56	151	10386
-62.7006	356977	20868	60	159	6268
-62.6006	337404	24779	56	159	12376
-62.5006	291388	21836	60	160	6053
-62.4006	324855	24462	59	161	12966
-62.3006	280238	24905	51	160	13915
-62.2006	343317	22536	63	161	6577
-62.1006	302303	24785	55	163	9844
-62.0006	301317	24209	59	159	10024
-61.9006	332000	24367	64	160	12435
-61.8006	316363	19620	63	155	3225
-61.7006	318680	21918	64	161	6392
-61.6006	345071	21869	67	157	8438
-61.5006	335917	20155	57	161	3660
-61.4006	340526	22255	58	163	8394
-61.3006	337405	23738	66	162	9318
-61.2006	295416	20675	52	162	4976
-61.1006	347707	22642	72	163	7876
-61.0006	348133	23735	68	156	8603
-60.9006	326946	21008	57	157	5793
-60.8006	334721	22652	66	164	7943
-60.7006	293885	24071	63	156	11682
-60.6006	296971	25385	53	159	11293
-60.5006	316706	22782	62	159	6395
-60.4006	299043	23058	61	161	9842
-60.3006	321856	25154	59	159	9638
-60.2006	339797	21451	63	160	5015
-60.1006	303589	20247	69	159	5959
-60.0006	328636	21787	58	158	6429
-59.9006	301931	22259	56	155	8022
-59.8006	348833	24640	61	163	13408
-59.7006	343114	22954	63	162	8609
-59.6006	327418	21654	61	160	7385
-59.5006	335742	22053	64	160	7616
-59.4006	326747	22383	52	159	8673
-59.3006	340303	22052	64	160	8526
-59.2006	310036	25403	62	160	13085
-59.1006	315025	22238	64	163	7804
-59.0006	322644	23899	61	159	11345
-58.9006	314495	22939	55	159	10546
-58.8006	283168	22043	54	155	9292
-58.7006	306606	20352	62	158	3884
-58.6006	342401	24365	57	162	11835
-58.5006	316293	24102	54	158	8949
-58.4006	338670	21914	66	157	7522
-58.3006	315766	21994	63	160	5966
-58.2006	317843	22819	70	158	8194
-58.1006	336253	24311	64	161	11753
-58.0006	281922	20852	59	160	5284
-57.9006	319854	22892	54	160	8234
-57.8006	333335	22966	61	161	8840
-57.7006	352617	23582	65	158	9917
-57.6006	325613	21791	60	160	7276
-57.5006	319325	21873	63	160	7190
-57.4007	342115	24212	63	160	8917
-57.3007	308928	20412	56	158	3266
-57.2007	325118	19050	66	159	2737
-57.1007	312028	21375	57	163	6688
-57.0007	314286	20644	67	160	7882
-56.9007	338322	23130	64	159	8368
-56.8007	312659	21082	56	156	6850
-56.7007	331087	23519	61	160	7865
-56.6007	334759	26708	56	162	16626
-56.5007	339177	21434	62	165	7673
-56.4007	328144	22605	62	162	9825
-56.3007	331118	20342	61	157	7239
-56.2007	282183	29471	59	163	17224
-56.1007	316655	25346	60	158	13475
-56.0007	319947	20008	64	159	2805
-55.9007	323906	20856	64	160	5489
-55.8007	320937	21974	62	155	8081
-55.7007	336774	26876	58	163	12568
-55.6007	342130	25185	62	160	12164
-55.5007	323455	23244	63	163	7371
-55.4007	353065	22172	64	159	6115
-55.3007	338537	20014	65	161	3453
-55.2007	289751	22207	68	158	8812
-55.1007	355326	20339	68	160	3847
-55.0007	306513	26587	70	156	16877
-54.9007	301385	26158	63	158	13439
-54.8007	338400	21241	65	159	8181
-54.7007	314776	20562	66	157	5119
-54.6007	316753	23285	57	161	7672
-54.5007	316666	21446	62	159	5646
-54.4007	315770	29688	54	162	17608
-54.3007	316141	22119	58	160	9517
-54.2007	323718	21073	60	162	4969
-54.1007	334183	19530	66	157	2860
-54.0007	352820	19899	61	158	4676
-53.9007	335434	25411	67	158	11788
-53.8007	311797	21293	61	163	7751
-53.7007	316803	22248	59	159	8260
-53.6007	323028	23870	60	160	9179
-53.5007	339662	23770	64	158	11598
-53.4007	341353	20932	62	161	6595
-53.3007	305620	21064	62	160	5910
-53.2007	334036	25742	58	161	16950
-53.1007	293412	24829	59	159	9410
-53.0007	318700	23328	60	160	10417
-52.9007	308645	19440	63	157	2722
-52.8007	289098	20558	59	160	7114
-52.7007	320957	23766	61	162	9186
-52.6007	331399	18820	65	162	1236
-52.5007	341638	23116	59	162	10054
-52.4007	316783	23300	65	159	7541
-52.3007	321417	23767	61	163	9833
-52.2007	303921	21868	65	162	9404
-52.1007	303558	27537	65	160	13887
-52.0007	320626	19618	59	154	3580
-51.9007	342271	23423	66	159	8732
-51.8007	343015	21924	66	160	8640
-51.7007	334248	21956	63	161	8635
-51.6007	316013	20574	61	163	4641
-51.5007	342012	21927	57	158	5881
-51.4007	302954	26639	53	159	12451
-51.3007	329534	24523	66	159	11296
-51.2007	338905	21997	59	161	8136
-51.1007	334557	21275	79	164	5975
-51.0007	321357	21978	66	160	6589
-50.9007	337834	24446	63	160	9694
-50.8008	310692	21564	62	155	7234
-50.7008	317500	21020	68	156	4679
-50.6008	356231	27688	63	163	14781
-50.5008	334409	20686	65	158	3405
-50.4008	344806	21828	64	163	7576
-50.3008	296403	24876	55	161	10793
-50.2008	348415	20663	69	161	8376
-50.1008	338645	19911	61	154	3815
-50.0008	298261	20058	55	164	4288
-49.9008	339644	21533	59	160	6834
-49.8008	294133	21369	66	161	5585
-49.7008	330944	22449	63	158	8742
-49.6008	319738	22313	62	162	7641
-49.5008	300711	23432	55	163	11110
-49.4008	354796	22781	63	161	6585
-49.3008	328368	30121	66	156	17326
-49.2008	334148	23895	52	156	12065
-49.1008	335454	23639	50	157	9486
-49.0008	315513	20664	54	161	5409
-48.9008	318226	24659	65	158	10739
-48.8008	359690	21548	59	159	9308
-48.7008	312535	22472	59	163	10563
-48.6008	346973	23925	59	157	9961
-48.5008	317521	26128	55	154	13404
-48.4008	317247	20981	61	161	5634
-48.3008	306767	19801	60	157	3227
-48.2008	344929	22343	72	162	7852
-48.1008	319907	22982	64	155	9631
-48.0008	340305	20544	64	161	5373
-47.9008	345715	23212	69	161	10460
-47.8008	326351	19956	63	159	3660
-47.7008	348455	25042	64	156	13341
-47.6008	323848	24457	67	158	9566
-47.5008	306253	20166	63	155	3858
-47.4008	353849	20297	61	160	3992
-47.3008	297826	19332	61	159	2438
-47.2008	353021	20411	58	162	5695
-47.1008	324713	21627	65	159	5817
-47.0008	315613	19762	57	157	3006
-46.9008	339626	25600	57	163	11294
-46.8008	354175	21728	62	162	5600
-46.7008	306822	27815	57	158	14938
-46.6008	297836	21016	56	160	6122
-46.5008	298040	21346	65	161	5573
-46.4008	340829	26407	57	158	12170
-46.3008	311695	21228	61	159	7546
-46.2008	356768	22773	62	159	8894
-46.1008	361748	20735	59	161	6893
-46.0008	335934	23300	53	157	9318
-45.9008	299272	19770	56	157	2620
-45.8008	346488	20122	61	159	5404
-45.7008	342153	22273	59	159	8975
-45.6008	324900	21494	63	160	7462
-45.5008	344052	22113	63	158	8203
-45.4008	346802	22138	71	163	7058
-45.3008	255700	18774	55	159	1669
-45.2008	317712	26012	65	161	13321
-45.1008	330529	21716	66	160	7255
-45.0008	333037	27080	57	156	15579
-44.9008	320097	24827	60	162	13155
-44.8008	344810	21433	62	161	8277
-44.7008	344722	23675	60	159	9307
-44.6008	318372	20359	64	161	4657
-44.5008	334735	23955	66	161	8437
-44.4008	339909	24717	58	156	12271
-44.3008	296838	21081	65	156	6257
-44.2009	341851	20591	56	158	7799
-44.1009	293354	21124	57	160	4476
-44.0009	308240	21721	57	159	7392
-43.9009	347620	20548	69	158	3592
-43.8009	345752	28457	64	155	17107
-43.7009	335611	23794	66	159	10052
-43.6009	333247	21237	59	157	5544
-43.5009	318205	24875	57	162	12894
-43.4009	324481	23566	61	161	7986
-43.3009	313479	21601	59	158	6105
-43.2009	343624	23174	62	159	9200
-43.1009	343258	20945	59	162	5371
-43.0009	351854	22953	66	162	9433
-42.9009	332868	25183	64	162	14549
-42.8009	332263	21521	64	159	6374
-42.7009	325197	21106	59	157	6739
-42.6009	341056	22021	68	161	7701
-42.5009	320432	27077	59	161	12759
-42.4009	363304	26677	65	156	14554
-42.3009	333145	21076	66	162	7436
-42.2009	310168	24015	56	160	11651
-42.1009	350613	20057	64	161	3613
-42.0009	323207	19197	63	160	1610
-41.9009	335004	27117	60	159	16493
-41.8009	333904	22242	64	159	8347
-41.7009	321866	22115	61	158	8152
-41.6009	328173	21761	59	159	8422
-41.5009	354579	19678	64	153	5790
-41.4009	333443	24574	67	157	10019
-41.3009	327544	20444	59	162	4308
-41.2009	332771	19810	60	158	4654
-41.1009	334961	23705	62	158	9244
-41.0009	320232	20708	57	160	4742
-40.9009	341478	20842	68	162	4011
-40.8009	337469	21410	63	164	8469
-40.7009	320520	23718	58	159	10554
-40.6009	306503	25203	60	163	14306
-40.5009	338037	19166	67	157	2857
-40.4009	364395	21804	58	161	6381
-40.3009	294191	24198	54	157	9680
-40.2009	316720	22490	56	160	8869
-40.1009	346398	20767	64	159	8394
-40.0009	352943	20155	59	164	6030
-39.9009	320526	24224	54	162	11617
-39.8009	334009	22257	66	161	7464
-39.7009	347024	22879	61	156	7630
-39.6009	329479	29052	65	160	18144
-39.5009	325738	19582	56	161	4604
-39.4009	324618	20814	67	163	5020
-39.3009	316616	22267	61	155	9117
-39.2009	323615	19919	62	161	4319
-39.1009	342976	20445	66	162	6684
-39.0009	333021	21896	60	158	8151
-38.9009	338466	19326	66	159	3306
-38.8009	324647	24087	64	160	11391
-38.7009	328870	23377	59	158	11816
-38.6009	318845	20506	61	156	5899
-38.5009	336445	23109	69	160	11437
-38.4009	357156	22468	61	162	8434
-38.3009	294885	22178	54	161	7767
-38.2009	305205	20911	57	159	6855
-38.1009	329912	23889	69	158	10061
-38.0009	348023	21778	69	155	6819
-37.9009	321291	21539	65	160	6126
-37.8009	325827	21375	66	160	6841
-37.701	331249	19375	66	159	1900
-37.601	347967	23372	62	160	10592
-37.501	359225	23497	63	159	9110
-37.401	351405	22557	67	158	8168
-37.301	345326	19766	65	163	3889
-37.201	354745	23944	68	162	9515
-37.101	359707	21530	63	160	7852
-37.001	356335	21511	70	153	6294
-36.901	349385	21542	69	157	6359
-36.801	347084	20320	59	162	4165
-36.701	311775	20333	60	163	6875
-36.601	334100	21204	58	160	5386
-36.501	359582	22479	60	159	12732
-36.401	339909	19699	68	158	5282
-36.301	366490	22180	58	160	8161
-36.201	315170	20600	54	158	4143
-36.101	346040	23608	68	157	8574
-36.001	329108	23933	55	159	10158
-35.901	304634	20286	61	162	3592
-35.801	310398	22568	58	160	9050
-35.701	327175	23217	61	165	10153
-35.601	337297	21814	63	158	6858
-35.501	345304	23040	66	162	9958
-35.401	336700	24124	63	162	11541
-35.301	355339	20089	63	161	5274
-35.201	339131	22461	65	161	8341
-35.101	327342	22502	62	162	9551
-35.001	346866	29184	59	163	16484
-34.901	336799	25595	66	156	12325
-34.801	340546	23637	65	160	11932
-34.701	297114	28492	60	159	19614
-34.601	325454	20055	61	158	6221
-34.501	334713	25170	57	162	14988
-34.401	356062	24070	61	161	12851
-34.301	339624	20923	60	159	6535
-34.201	326560	27230	61	158	17483
-34.101	324166	21858	63	159	6670
-34.001	323889	23063	56	157	10311
-33.901	343029	21726	67	161	8621
-33.801	340036	27279	61	162	13285
-33.701	329859	22115	65	162	7389
-33.601	318688	21637	60	161	6436
-33.501	354612	22070	60	158	9263
-33.401	362122	23682	68	162	13967
-33.301	340364	21815	61	163	8192
-33.201	347479	21602	65	159	8605
-33.101	307500	23003	58	161	8894
-33.001	361616	21136	68	163	5565
-32.901	347526	23736	65	158	9059
-32.801	337789	22811	60	159	9180
-32.701	322833	21621	63	158	8793
-32.601	348437	25870	53	160	12752
-32.501	307087	20840	59	162	5067
-32.401	346255	20809	64	158	5658
-32.301	339295	24448	64	166	13808
-32.201	347880	20318	63	162	4180
-32.101	304688	21681	56	161	9642
-32.001	316044	18902	63	159	1987
-31.901	329429	19597	66	159	3237
-31.801	328403	21893	65	160	9567
-31.701	314943	23643	58	162	13306
-31.601	340670	23589	64	158	8815
-31.501	356273	20885	65	157	5884
-31.401	348510	23690	64	161	8708
-31.301	324863	23072	65	161	6673
-31.201	336280	20037	60	159	2844
-31.101	320549	20060	62	161	5134
-31.001	362224	22581	62	161	7206
-30.901	369439	22394	65	156	7147
-30.801	324755	21132	55	163	5492
-30.701	336447	19882	64	159	4734
-30.601	363174	20505	70	156	4470
-30.501	335101	19705	63	157	4055
-30.401	331319	22567	62	161	8539
-30.301	317878	20195	59	159	5580
-30.201	341884	24427	68	160	8950
-30.101	342469	20495	64	160	4646
-30.001	324939	26432	58	159	12314
-29.901	315503	28454	61	159	17438
-29.801	342366	24486	57	161	11455
-29.701	336131	19768	65	157	4717
-29.601	314897	23398	57	161	11711
-29.501	349076	22985	65	161	8754
-29.401	348374	21035	57	159	5102
-29.301	358954	23429	62	163	9584
-29.201	336492	22344	59	155	8622
-29.101	353890	25422	68	154	10819
-29.001	313960	19978	62	160	3618
-28.901	291299	23388	59	159	8209
-28.801	331799	22280	58	162	8284
-28.701	335813	23083	57	154	11775
-28.601	356887	23808	68	164	11848
-28.501	323917	21162	55	158	7513
-28.401	346255	21781	60	161	6099
-28.301	351452	19595	64	164	2858
-28.201	345516	26998	62	158	17310
-28.101	304327	24225	56	159	9130
-28.001	305442	24164	65	161	9069
-27.901	356515	23949	62	164	11209
-27.801	365776	22851	64	165	9235
-27.701	319815	23155	53	159	8944
-27.601	329159	20211	57	160	5276
-27.501	338803	21689	63	159	8229
-27.401	357597	22383	69	158	10548
-27.301	343915	20147	61	161	3234
-27.201	354400	24371	58	159	10382
-27.101	345486	26886	65	153	14411
-27.001	328140	20524	59	155	6081
-26.901	362054	20976	60	163	7815
-26.801	324058	25836	58	164	12687
-26.701	348431	21937	69	157	8589
-26.601	357934	21548	63	155	7133
-26.501	314640	21885	64	157	7294
-26.401	352716	21369	59	157	6204
-26.301	357944	20827	71	160	8859
-26.201	333656	19871	59	155	3421
-26.101	339371	25226	61	157	14495
-26.001	353515	23258	54	162	13216
